id,date,title,content,product
http://www.ilbe.com/index.php?mid=smartphone&search_target=title_content&search_keyword=g5&page=137&document_srl=7575308151,2016-02-23,G5가 똥폰이 될 수밖에 없는 가장 큰 이유,노트5 s펜 거꾸로 뒤집어 넣는 문제 마냥 배터리를 모듈에 꽂을때 문제 생김 -> 모듈 재구매 -> 창렬.  빼박can't이 게시물을...,g5
http://www.ilbe.com/index.php?mid=smartphone&search_target=title_content&search_keyword=g5&page=137&document_srl=7575181281,2016-02-23,G5가 똥폰인 이유,모듈자체가 배터리를 고정시켜서 넣는 방식이라 모듈 바꿀때마다 무조건 배터리를 빼야함. 전원 끄고 빼고 끼우면 귀찮음은 배가 되고 귀찮아서 전원 안끄고 바로 빼다 끼우면 메인보드가 뻑이나겠지?? 고로 G5 = 셀프 운지 가능한 폰  이 게시물을...,g5
http://www.ilbe.com/index.php?mid=smartphone&search_target=title_content&search_keyword=g5&page=137&document_srl=7574998709,2016-02-23,G5에 끼우는 비앤오? 이거 유명하냐? 처음듣는 듣보인데?,"음향하면 돌비, 울프슨 아니냐?애초에 대중에 알려지지 않고 극히 일부만아는 중소업체랑 협업해서 나온제품으로브랜드이미지를 제고한다는게좀 잘못된 마케팅전략 아닌가 싶다...이 게시물을...",g5
http://www.ilbe.com/index.php?mid=smartphone&search_target=title_content&search_keyword=g5&page=137&document_srl=7574849583,2016-02-23,뱅앤올룹슨이 사운드로 존나 유명한데는 아니지않나?,g5 뱅엔올룹슨 오디오 모듈은 뭐가 장점임?이 게시물을...,g5
http://www.ilbe.com/index.php?mid=smartphone&search_target=title_content&search_keyword=g5&page=137&document_srl=7574829566,2016-02-23,g5빠는새끼들 특징,애미없음이 게시물을...,g5
http://www.ilbe.com/index.php?mid=smartphone&search_target=title_content&search_keyword=g5&page=137&document_srl=7574801237,2016-02-23,LG G5 VS LG V10,!이 게시물을...,g5
http://www.ilbe.com/index.php?mid=smartphone&search_target=title_content&search_keyword=g5&page=137&document_srl=7574752397,2016-02-23,그래서 사운드는 뭐가 더 좆냐고, g5냐s7이냐이 게시물을...,g5
http://www.ilbe.com/index.php?mid=smartphone&search_target=title_content&search_keyword=g5&page=137&document_srl=7574725162,2016-02-23,G5 호평 받는건 맞아,그게 판매량으로 안이어져서 문제이 게시물을...,g5
http://www.ilbe.com/index.php?mid=smartphone&search_target=title_content&search_keyword=g5&page=137&document_srl=7574342463,2016-02-23,g5 s7 고민된다 b&o 모듈 아이스파워냐 ?,아이폰 6 쓰다가 아이폰 7기다리는데 3.5 단자 사라진다는 루머돌아서그냥 s7 가려는데g5에서 b&o 모듈 파는구만. b&o play 협업이라는데 ...하여튼 b&o 모듈에 아이스파워가 들어가냐사실 내 기준에서 삼엽이니 앱등이니 개지랄.폰해봤자 카톡 전화 웹서핑 카메라 음악듣는게 다라서...걍 디자인 이뿌고 기본기 충실하면됨 이 게시물을...,g5
http://www.ilbe.com/index.php?mid=smartphone&search_target=title_content&search_keyword=g5&page=137&document_srl=7574321043,2016-02-23,g5 갤식 디자인 비교,ㄷㄷㄷ이 게시물을...,g5
