/board/view/?id=smartphone&no=4260032&page=1&search_pos=-4210000&s_type=search_all&s_keyword=s6,2015-02-26 19:44:12,올해는 갓럭시 s6이 평정할듯,외장메모리가 필요하면 노트를 사라 이기,84,2017-04-03 22:59:59.238000
/board/view/?id=smartphone&no=4259987&page=1&search_pos=-4210000&s_type=search_all&s_keyword=s6,2015-02-26 18:49:09,갤럭시 S6 >> 넘사벽 >> G4 G Flex 2,SD 슬롯 없고 내장형 배터리여도 저것들은 이김,806,2017-04-03 22:59:59.881000
/board/view/?id=smartphone&no=4259899&page=1&search_pos=-4210000&s_type=search_all&s_keyword=s6,2015-02-26 15:54:36,s6는,앞면 s4 옆면 아이폰 뒷면 알파 ?,57,2017-04-03 23:00:00.621000
/board/view/?id=smartphone&no=4259838&page=1&search_pos=-4210000&s_type=search_all&s_keyword=s6,2015-02-26 14:27:04,갤럭시S6 실사 유출,from 좆벨로이드From G900S,189,2017-04-03 23:00:01.356000
/board/view/?id=smartphone&no=4259798&page=1&search_pos=-4210000&s_type=search_all&s_keyword=s6,2015-02-26 13:55:36,완벽하게 카피한...갤럭시s6.underkg,ㄹㅇ 좆병신인줄ㅋㅋㅋㅋㅋㅋㅋs6 랜더링에 아이폰 카메라 절연띠 홈버튼을 싸그리 때다붙히면 똑같은건 당연한건데저거만 보고 배꼈다는 말이 나오나From G900S,542,2017-04-03 23:00:01.985000
/board/view/?id=smartphone&no=4259541&page=1&search_pos=-4210000&s_type=search_all&s_keyword=s6,2015-02-26 12:01:41,갓성님의 갓럭시 s6유출으로 보고 내가 한 생각,디자이너 죽이러 갑니다...,79,2017-04-03 23:00:02.572000
/board/view/?id=smartphone&no=4259478&page=1&search_pos=-4210000&s_type=search_all&s_keyword=s6,2015-02-26 10:58:37,그냥 갤럭시는 s3가 디자인이 가장 좋았던거 같다. 계속 퇴보하는 중,갤s3 디자인이 그나마 가장 괜찬았던거 같다.애플 디자인과도 거리가 멀었고.갤s6 진짜 유출된거처럼 나오면 욕 처먹을일만 남은거임.,119,2017-04-03 23:00:03.284000
/board/view/?id=smartphone&no=4259348&page=1&search_pos=-4210000&s_type=search_all&s_keyword=s6,2015-02-26 01:30:45,갤s6진짜 배터리일체형인가여?,읔?기계식키보드방출좀...,158,2017-04-03 23:00:03.990000
/board/view/?id=smartphone&no=4258963&page=1&search_pos=-4210000&s_type=search_all&s_keyword=s6,2015-02-25 16:14:11,'윈도우' 품은 '갤럭시S6'…삼성-MS 新 밀월.gisa,,195,2017-04-03 23:00:04.587000
/board/view/?id=smartphone&no=4258480&page=1&search_pos=-4210000&s_type=search_all&s_keyword=s6,2015-02-24 21:52:09,ㅈㄱ) 얘들아 갤알파 욕심 생긴 앤데,보니깐 a시리즈랑은 다르게 배터리 탈착이 가능하다고!!지문인식도 되고 무엇보다 얇다는 점이 너무 마음에 드는데 지금 사면 호갱이냐? ㅠㅠ갤s6 뜬다고 해도 이 기종은 단종되서 더 이상 깎아 팔진 않지 싶은데...내가 모르는 함정카드 같은거 있는지 좀 알려주랑 헤헿,269,2017-04-03 23:00:05.326000
