word	similarity	expression
별로	0.9272471070289612	좋다
엄청	0.9132425785064697	좋다
기대	0.9114423394203186	좋다
이쁘다	0.9087969064712524	좋다
잘나	0.9071763753890991	좋다
나쁘다	0.9067022204399109	좋다
생각	0.9052156209945679	좋다
비슷	0.898497462272644	좋다
나르	0.8937526941299438	좋다
아쉽다	0.8916750550270081	좋다
개인적	0.890974760055542	좋다
끌리다	0.8895733952522278	좋다
그립감	0.8885122537612915	좋다
차이	0.8881723284721375	좋다
ㅎㅎ	0.8878424167633057	좋다
만족	0.8838154673576355	좋다
셀카	0.8829672336578369	좋다
실물	0.8818170428276062	좋다
마음	0.8814055323600769	좋다
터치감	0.8795189261436462	좋다
솔직	0.8784631490707397	좋다
괜찮다	0.8777650594711304	좋다
	0.8758873343467712	좋다
화질	0.8755694627761841	좋다
제일	0.8751084208488464	좋다
너무크	0.8747429847717285	좋다
방수	0.8743327856063843	좋다
스펙	0.8743020296096802	좋다
성능	0.8738533854484558	좋다
ㅎ	0.8726650476455688	좋다
다들	0.9898808002471924	힘들다
하시	0.9845698475837708	힘들다
구하	0.9821705222129822	힘들다
늦다	0.9812976121902466	힘들다
투표	0.9810672998428345	힘들다
가야	0.9810528755187988	힘들다
지인	0.980254054069519	힘들다
일주일	0.9801418781280518	힘들다
받으시길	0.9800349473953247	힘들다
계신	0.9797531366348267	힘들다
저도	0.9797244668006897	힘들다
재고	0.979652464389801	힘들다
행사기간	0.9791573882102966	힘들다
ㅅㄷㄹㅌㅋㄴ	0.979114830493927	힘들다
날씨	0.9781924486160278	힘들다
무릎	0.9774499535560608	힘들다
오랜만	0.9773143529891968	힘들다
주말	0.9755640625953674	힘들다
얼른	0.9755237102508545	힘들다
사기	0.9751566052436829	힘들다
사신	0.974818229675293	힘들다
그나	0.9745299816131592	힘들다
이득	0.9744647145271301	힘들다
우리동네	0.974301815032959	힘들다
하루	0.9742487668991089	힘들다
있을까	0.9739640355110168	힘들다
눈팅	0.9738530516624451	힘들다
사도	0.9736793041229248	힘들다
기다리다	0.9736109972000122	힘들다
타이밍	0.9735766649246216	힘들다
어두	0.981270968914032	어둡다
ips	0.9764722585678101	어둡다
디스플레이	0.9760434627532959	어둡다
크기	0.970993161201477	어둡다
터치	0.9696030616760254	어둡다
속도	0.9666801691055298	어둡다
불편	0.9659391045570374	어둡다
qhd	0.9654898047447205	어둡다
해상도	0.9644525051116943	어둡다
매우	0.9638259410858154	어둡다
수동	0.9612551927566528	어둡다
웨이즈	0.9597108364105225	어둡다
수준	0.9590362906455994	어둡다
단점	0.9583377838134766	어둡다
실제	0.9538472294807434	어둡다
lcd	0.9538458585739136	어둡다
색감	0.9534775018692017	어둡다
자동	0.9534282684326172	어둡다
인식률	0.9534033536911011	어둡다
실내	0.9527329802513123	어둡다
빠르다	0.9527231454849243	어둡다
지문	0.9512646198272705	어둡다
밝기	0.9509927034378052	어둡다
베젤	0.950832724571228	어둡다
편하다	0.9502969980239868	어둡다
선명	0.9495202302932739	어둡다
이건	0.9486749172210693	어둡다
발열	0.9475635290145874	어둡다
느끼	0.9467403292655945	어둡다
번인	0.9465150833129883	어둡다
그만큼	0.9984183311462402	잘되다
넣어주	0.9983893632888794	잘되다
점이	0.9973002672195435	잘되다
단단	0.9967105388641357	잘되다
깨끗	0.9965839385986328	잘되다
일반적	0.9963264465332031	잘되다
키보드	0.9963079690933228	잘되다
변하	0.9959746599197388	잘되다
생긴	0.9955902695655823	잘되다
마치	0.9955857992172241	잘되다
듣기	0.9954415559768677	잘되다
약해	0.9953868389129639	잘되다
높이	0.995333194732666	잘되다
외부	0.9953033924102783	잘되다
촉감	0.9952977895736694	잘되다
조차	0.9952727556228638	잘되다
커지	0.9952425956726074	잘되다
브라우저	0.9952280521392822	잘되다
들리	0.9952037930488586	잘되다
오목	0.9951997995376587	잘되다
기본적	0.9951760768890381	잘되다
수명	0.995173454284668	잘되다
수도	0.9950573444366455	잘되다
두껍	0.9949792623519897	잘되다
특성상	0.9949572086334229	잘되다
위아래	0.9948492050170898	잘되다
모습	0.9947000741958618	잘되다
싸구려	0.9946608543395996	잘되다
방전	0.9946365356445312	잘되다
보완	0.9945630431175232	잘되다
나르	0.9927341938018799	나쁘다
마음	0.9881582856178284	나쁘다
제일	0.9851784706115723	나쁘다
평이	0.9834834933280945	나쁘다
똑같	0.9829750061035156	나쁘다
안나	0.982799768447876	나쁘다
	0.9804046154022217	나쁘다
예쁘다	0.9798104763031006	나쁘다
무난하다	0.9789988398551941	나쁘다
나와	0.9788763523101807	나쁘다
당연	0.9783060550689697	나쁘다
충분	0.9770352840423584	나쁘다
가성비	0.976134181022644	나쁘다
라리	0.975721538066864	나쁘다
기분	0.9752273559570312	나쁘다
나올	0.9745431542396545	나쁘다
탐나	0.9745242595672607	나쁘다
취향	0.9742814302444458	나쁘다
완전	0.9740946292877197	나쁘다
대박	0.973579466342926	나쁘다
나온거	0.9732707142829895	나쁘다
사실	0.9729037284851074	나쁘다
매력적	0.9724963903427124	나쁘다
실물	0.9722766280174255	나쁘다
한데	0.9722080826759338	나쁘다
같다	0.9721742868423462	나쁘다
막상	0.9721447825431824	나쁘다
엄청	0.9719706773757935	나쁘다
결론	0.9718738794326782	나쁘다
나아	0.9714497327804565	나쁘다
미세	0.9966136813163757	거슬리다
안보	0.9940919280052185	거슬리다
오른쪽	0.9927265644073486	거슬리다
테두리	0.9927249550819397	거슬리다
신경쓰다	0.9926820993423462	거슬리다
신경	0.9919881820678711	거슬리다
마감	0.9916526079177856	거슬리다
한쪽	0.990085244178772	거슬리다
하단부	0.9899314641952515	거슬리다
왼쪽	0.9881086945533752	거슬리다
뒷판	0.9880428314208984	거슬리다
찍히	0.9865573048591614	거슬리다
살짝	0.9863578081130981	거슬리다
도색	0.9856491684913635	거슬리다
먼지	0.9855654835700989	거슬리다
뒷면	0.985459566116333	거슬리다
생기	0.9846532344818115	거슬리다
심하다	0.9839363098144531	거슬리다
외관	0.9837090373039246	거슬리다
내구성	0.9835727214813232	거슬리다
덜렁거	0.9827114343643188	거슬리다
약간	0.9826759099960327	거슬리다
삐뚤	0.982459306716919	거슬리다
심한	0.9823445081710815	거슬리다
상단	0.98110032081604	거슬리다
도장	0.9809496402740479	거슬리다
아주	0.9799833297729492	거슬리다
결합부	0.9799662232398987	거슬리다
기스	0.9788997173309326	거슬리다
qc	0.9776990413665771	거슬리다
긴장	0.9973545074462891	즐겁다
신나	0.99683678150177	즐겁다
아마	0.9968203902244568	즐겁다
상상	0.9968111515045166	즐겁다
이런것	0.9965289831161499	즐겁다
주네	0.9964956045150757	즐겁다
설마	0.9963973760604858	즐겁다
발목	0.9963585734367371	즐겁다
의심	0.9963225722312927	즐겁다
보지	0.9962903261184692	즐겁다
ㅎㄷㄷ	0.9961962103843689	즐겁다
아무거	0.9961758255958557	즐겁다
시연	0.9961323738098145	즐겁다
사보	0.9958876967430115	즐겁다
맞춤	0.9958666563034058	즐겁다
의문	0.9958231449127197	즐겁다
팔면	0.9957903623580933	즐겁다
윗쪽	0.9957551956176758	즐겁다
기본형	0.9956340789794922	즐겁다
사놓	0.9955047369003296	즐겁다
말	0.9954912662506104	즐겁다
360캠	0.9954016208648682	즐겁다
오기	0.9953757524490356	즐겁다
문득	0.9953652620315552	즐겁다
생각나	0.995330810546875	즐겁다
주변기기	0.9952528476715088	즐겁다
g7	0.9951208829879761	즐겁다
대기	0.9950805902481079	즐겁다
귀인	0.9950792789459229	즐겁다
안주	0.9950445890426636	즐겁다
내구	0.9964707493782043	안타깝다
그렇다	0.9958608150482178	안타깝다
아쉬움	0.9955910444259644	안타깝다
제법	0.9955018162727356	안타깝다
빠릿	0.9953385591506958	안타깝다
은근	0.9953268766403198	안타깝다
버리	0.9952679872512817	안타깝다
내놓	0.9952489137649536	안타깝다
갈리	0.9952150583267212	안타깝다
대체	0.9951360821723938	안타깝다
안간	0.9950657486915588	안타깝다
부족	0.9950394630432129	안타깝다
같긴	0.9948772192001343	안타깝다
같다	0.994821310043335	안타깝다
보자	0.9947102665901184	안타깝다
주관적	0.9946154356002808	안타깝다
만족도	0.9945218563079834	안타깝다
잘한거	0.9944013953208923	안타깝다
첫인상	0.9942500591278076	안타깝다
짚2	0.9940738677978516	안타깝다
나는거	0.9940275549888611	안타깝다
여전	0.9940271377563477	안타깝다
나아지	0.9940146207809448	안타깝다
소문	0.9939290881156921	안타깝다
장난	0.9938313364982605	안타깝다
튼튼	0.9938173294067383	안타깝다
당연	0.9938114285469055	안타깝다
정말	0.9937210083007812	안타깝다
같	0.9937050342559814	안타깝다
호감	0.9936765432357788	안타깝다
ㅇ	0.996819794178009	부럽다
벚꽃	0.9963648915290833	부럽다
흥하	0.9963235259056091	부럽다
올라오	0.9958068132400513	부럽다
네	0.9955201148986816	부럽다
인기	0.995454728603363	부럽다
음	0.9951270818710327	부럽다
거르	0.9945380687713623	부럽다
비유	0.9945305585861206	부럽다
헤	0.9944949150085449	부럽다
나오는거	0.9943873882293701	부럽다
만	0.994312584400177	부럽다
갤세븐	0.9942401051521301	부럽다
진리	0.99411940574646	부럽다
옹호	0.9941072463989258	부럽다
나온거	0.9939448237419128	부럽다
고르기	0.9938750267028809	부럽다
종결	0.9938145875930786	부럽다
땡기	0.9937418699264526	부럽다
지포	0.993696391582489	부럽다
뭐하	0.9936836957931519	부럽다
낫다	0.993648111820221	부럽다
현실	0.9934885501861572	부럽다
마음먹	0.9934753775596619	부럽다
답인	0.993309736251831	부럽다
살까	0.993272602558136	부럽다
ㅉㅉ	0.9932575225830078	부럽다
살	0.9932113289833069	부럽다
냐	0.9930937886238098	부럽다
색깔	0.9929202198982239	부럽다
상태	0.9563949108123779	안되다
와이파이	0.919116735458374	안되다
부팅	0.9186213612556458	안되다
발생	0.9153259992599487	안되다
확인	0.9068232178688049	안되다
다시	0.9040564298629761	안되다
어플	0.9033982753753662	안되다
설정	0.9030202627182007	안되다
케이블	0.9028672575950623	안되다
안하	0.900783896446228	안되다
통화	0.9002201557159424	안되다
메인보드	0.9000253677368164	안되다
있다	0.8988848328590393	안되다
시간	0.8983340263366699	안되다
증상	0.8972119688987732	안되다
이상	0.8967674970626831	안되다
다르	0.8967663049697876	안되다
꺼지	0.8962088823318481	안되다
카톡	0.8959931135177612	안되다
가격할인	0.8941854238510132	안되다
이용	0.8938852548599243	안되다
지속시간	0.8918057084083557	안되다
인식	0.8910564184188843	안되다
컴퓨터	0.8908960819244385	안되다
전원끄	0.8904772400856018	안되다
서비스	0.8897781372070312	안되다
인터넷	0.888112485408783	안되다
설치	0.8868664503097534	안되다
요일	0.8865545392036438	안되다
충전기	0.8838706612586975	안되다
속도	0.9823075532913208	빠르다
지문	0.974839448928833	빠르다
디스플레이	0.9732859134674072	빠르다
인식률	0.9695627689361572	빠르다
크기	0.9641258716583252	빠르다
게임	0.9609091281890869	빠르다
동영상	0.9550139307975769	빠르다
해상도	0.9548028707504272	빠르다
어둡다	0.9527230262756348	빠르다
단점	0.9471195340156555	빠르다
불편	0.9452789425849915	빠르다
ips	0.9439665079116821	빠르다
편하다	0.9437393546104431	빠르다
기능	0.9411267638206482	빠르다
장점	0.938252866268158	빠르다
촬영	0.9354908466339111	빠르다
느끼	0.9344173669815063	빠르다
후면	0.9342077970504761	빠르다
매우	0.9329296350479126	빠르다
어두	0.932874321937561	빠르다
화소	0.9285989999771118	빠르다
색감	0.928207278251648	빠르다
렌즈	0.9275554418563843	빠르다
선명	0.9266242980957031	빠르다
탑재	0.9254838228225708	빠르다
가볍다	0.9251017570495605	빠르다
화각	0.9249701499938965	빠르다
차이	0.9239735007286072	빠르다
듀얼	0.9238495826721191	빠르다
발열	0.9236071109771729	빠르다
초점	0.9978424906730652	부드럽다
느껴지	0.9968058466911316	부드럽다
두께	0.9963400363922119	부드럽다
등등	0.9963116645812988	부드럽다
수채화	0.9949990510940552	부드럽다
무게	0.9948992729187012	부드럽다
선명	0.994875967502594	부드럽다
실내	0.9948738217353821	부드럽다
발전	0.9944535493850708	부드럽다
쨍하	0.9943894743919373	부드럽다
노크	0.9943830966949463	부드럽다
시원시원하	0.9929141998291016	부드럽다
와이드	0.9928944706916809	부드럽다
찍기	0.9927199482917786	부드럽다
향상	0.992537796497345	부드럽다
대면	0.9922062754631042	부드럽다
편리	0.9921098351478577	부드럽다
결과물	0.9919013381004333	부드럽다
af	0.9914395213127136	부드럽다
한손	0.9914027452468872	부드럽다
두운	0.9912902116775513	부드럽다
하드웨어	0.9912281632423401	부드럽다
광원	0.9909577369689941	부드럽다
구현	0.9907310009002686	부드럽다
피사체	0.9906784892082214	부드럽다
재질	0.9905904531478882	부드럽다
고급	0.9903611540794373	부드럽다
기능인	0.9902058243751526	부드럽다
센서	0.9900491833686829	부드럽다
반응속도	0.9900156259536743	부드럽다
ㅎㅎ	0.9512773752212524	괜찮다
이정	0.9342420697212219	괜찮다
생각	0.9341727495193481	괜찮다
ㅎ	0.9323174357414246	괜찮다
	0.9212048053741455	괜찮다
어떤	0.9158660173416138	괜찮다
보고	0.9112562537193298	괜찮다
마음	0.9106168746948242	괜찮다
고민	0.9106104373931885	괜찮다
다들	0.9099010825157166	괜찮다
어느정도	0.9060804843902588	괜찮다
나르	0.9037296175956726	괜찮다
나쁘다	0.9021033048629761	괜찮다
제일	0.8989269733428955	괜찮다
끌리다	0.8979735970497131	괜찮다
궁금	0.8967942595481873	괜찮다
별로	0.8951531052589417	괜찮다
지5	0.8932509422302246	괜찮다
나올	0.8929208517074585	괜찮다
사람	0.8920997381210327	괜찮다
사고	0.891532301902771	괜찮다
실물	0.8902386426925659	괜찮다
비싸다	0.8895626664161682	괜찮다
그나	0.8851938843727112	괜찮다
모르	0.8827816843986511	괜찮다
사야	0.8823314905166626	괜찮다
요	0.8812222480773926	괜찮다
색상	0.8798167109489441	괜찮다
좋다	0.8777651786804199	괜찮다
실버	0.876656174659729	괜찮다
살짝	0.9884790182113647	심하다
거슬리다	0.9839363098144531	심하다
마감	0.9828190803527832	심하다
생기	0.9819480180740356	심하다
걱정	0.9806339740753174	심하다
보이	0.9803459048271179	심하다
찍히	0.9802927374839783	심하다
안보	0.9766282439231873	심하다
미세	0.9764841198921204	심하다
뒷면	0.9748681783676147	심하다
왼쪽	0.9731616377830505	심하다
도장	0.972688615322113	심하다
아주	0.971642255783081	심하다
오른쪽	0.9715496301651001	심하다
신경	0.9703449606895447	심하다
신경쓰다	0.9692484140396118	심하다
테두리	0.9654310941696167	심하다
한쪽	0.9612595438957214	심하다
빛샘	0.9607863426208496	심하다
뒷판	0.9582506418228149	심하다
하단부	0.9571165442466736	심하다
이건	0.9563829898834229	심하다
플라스틱	0.9558688402175903	심하다
상당	0.9541993141174316	심하다
탈착	0.9539929628372192	심하다
심한	0.9538507461547852	심하다
베젤	0.9536007642745972	심하다
크랙	0.95344477891922	심하다
도색	0.9533650279045105	심하다
외관	0.9533348679542542	심하다
없는거	0.997305691242218	잘하다
들게	0.9969377517700195	잘하다
주변	0.9969208240509033	잘하다
제가	0.996625542640686	잘하다
여러모	0.9961423873901367	잘하다
실사용	0.9958452582359314	잘하다
어떠	0.9957969188690186	잘하다
지금까지	0.9952190518379211	잘하다
이녀	0.9951543807983398	잘하다
잠깐	0.9951486587524414	잘하다
처참	0.9949404001235962	잘하다
수록	0.994868278503418	잘하다
그동안	0.9948445558547974	잘하다
한거	0.9948161840438843	잘하다
일처리	0.994594156742096	잘하다
기울	0.9945474863052368	잘하다
본적	0.9944669008255005	잘하다
뭔지	0.9944605827331543	잘하다
사람들	0.9944257736206055	잘하다
지	0.9943983554840088	잘하다
마찬가지	0.9942952990531921	잘하다
알고	0.9941802024841309	잘하다
확률	0.9941524267196655	잘하다
지프	0.9940974712371826	잘하다
이래	0.994046688079834	잘하다
가는거	0.9940142631530762	잘하다
설마	0.9940088987350464	잘하다
제발	0.9939761161804199	잘하다
소문	0.9939298033714294	잘하다
미치	0.9938676357269287	잘하다
매우	0.9916019439697266	편하다
느끼	0.9911906719207764	편하다
단점	0.9894434809684753	편하다
수준	0.9871379733085632	편하다
가볍다	0.9869586229324341	편하다
장점	0.9866421222686768	편하다
이건	0.9842009544372559	편하다
불편	0.9827111959457397	편하다
크기	0.9795610904693604	편하다
불만	0.9779499769210815	편하다
전체적	0.9776033759117126	편하다
뭔가	0.9775967001914978	편하다
개선	0.9774692058563232	편하다
실제	0.9756810665130615	편하다
아주	0.9744222164154053	편하다
상당	0.9743483662605286	편하다
아쉽다	0.9733930826187134	편하다
한손	0.9707812070846558	편하다
용량	0.9695132970809937	편하다
굉장	0.9690729379653931	편하다
교체형	0.9678874015808105	편하다
